	N120	N123	N124	N126	N130	N131	N137	N138	N140	N141	N142	N144	N145	N146	N148	N149	N150	N151	N153	N154	N156	N157	N158	N160	N161	N162	N163	N165	N166	N169	N170	N171	N172	N175	N176	N177	N178	N179	N180	N181	N182	N183	N185	N186	N187	N188	N189	N190	N192	N197	N200	N201	N202	N203	N204	N205	N208	N209	N210	N211	N212	N214	N215	N216	N219	N220	N221	N222	N223	N224	N226	N228	N229	N230	N232	N233	N237	N238	N239	N240	N242	N244	N245	N246	N248	N250	N251	N252	N254	N255	N257	N261	N262	N263	N264	N265	N267	N268	N270
SERPINA5	9.28354207	9.120668767	7.323294185	8.91873155	7.563444234	8.567252953	8.646563093	8.371721684	8.624187227	8.30774	8.62606	8.905376139	8.361660848	9.466316176	11.06307869	8.131005195	8.498916476	8.78825957	8.031628377	8.56005	8.875519649	8.60316	8.628263689	8.687618852	8.321191684	7.76475619	8.151864107	8.634128934	7.773767379	9.229683689	8.142476999	8.735798767	8.372406266	7.83087	8.472501268	9.182438767	9.118353093	8.777417499	8.222045195	8.42325	7.951333754	8.7594	9.051128688	8.507286476	8.806440581	8.808480581	8.738586139	6.379807227	8.89471155	8.876045663	8.170330672	7.485381905	8.510850848	9.234037338	8.286200593	8.2109	8.12548	8.943923348	9.266512759	8.862806176	8.861397379	7.85855207	8.620220581	8.158728934	9.000876346	8.59042314	9.020177379	8.657606476	8.522550848	8.42683147	9.124381733	8.481787227	8.676163093	8.531645735	8.61419147	9.346693349	8.597713754	7.908256176	8.550451905	8.173555663	7.170486999	8.34856	8.51652147	9.159655254	8.641501268	8.765133689	8.766410672	7.3221	6.272235254	8.581371503	8.709051268	8.458818852	8.09101	9.258187338	8.905715663	9.100158688	8.482046472	8.456638852	8.586257338
FCGR3B	3.08056207	4.398418767	1.753324185	4.28190155	6.019694234	6.551742953	5.725153093	3.725581684	5.349057227	4.65067	3.67885	5.674776139	4.001050848	5.899036176	8.273378688	3.940435195	3.140346476	5.65789957	5.740358377	3.03788	4.782869649	6.15262	5.787033689	3.307128852	3.855341684	4.57260619	4.553504107	4.912118934	2.628877379	3.760883689	4.939146999	4.098768767	4.594366266	2.36947	4.185651268	5.805428767	4.495743093	3.059857499	4.591355195	3.34703	5.235243754	3.38538	6.165108688	2.912626476	4.511960581	6.045820581	5.676456139	1.807177227	4.73546155	4.270275663	4.831330672	5.200601905	4.452990848	4.842397338	4.456920593	2.70415	4.14494	3.636263348	5.297522759	5.406246176	3.962537379	4.56432207	4.169350581	5.612728934	4.800056346	5.08095314	5.798907379	3.201426476	4.599520848	4.35646147	3.852871733	4.334707227	3.799853093	5.190025735	3.90062147	4.754203349	5.328853754	4.445866176	6.011141905	2.928225663	1.219696999	4.14945	5.21255147	6.378215254	4.909161268	4.354493689	5.282850672	3.60693	1.067315254	5.175761503	5.888201268	6.011348852	2.40724	7.490237338	5.480615663	6.691918688	3.980016472	3.979428852	3.716817338
IGFBP6	9.07856207	9.408828767	6.141404185	8.01791155	7.213604234	7.234172953	8.237673093	7.500491684	8.013497227	6.75379	9.24918	7.838606139	7.945170848	9.000346176	10.83985869	7.926405195	5.332856476	9.18691957	7.194068377	8.0344	7.532459649	8.17566	7.537843689	6.568878852	8.740211684	7.35800619	7.009164107	6.392988934	5.943027379	6.398403689	6.965226999	8.199508767	7.791726266	5.7103	8.467551268	9.224368767	5.190673093	7.850477499	8.291615195	6.73501	5.912743754	7.59104	8.413858688	6.706206476	7.832820581	7.840970581	6.587476139	5.673917227	7.50737155	7.636105663	6.931970672	6.566801905	6.651340848	8.098497338	6.642970593	6.85634	7.44443	7.295943348	7.555462759	8.659356176	8.284657379	4.55403207	7.678050581	7.043038934	7.498336346	7.01956314	8.524267379	6.041406476	7.632920848	8.17581147	7.069701733	8.135707227	6.693253093	7.802445735	8.34233147	8.391553349	7.290423754	6.604576176	7.449181905	5.534835663	4.658946999	7.21253	5.77974147	7.766025254	6.235641268	5.929163689	7.551570672	6.91574	5.732155254	7.065241503	8.720541268	7.732538852	5.57304	8.065677338	8.257855663	8.696998688	6.424116472	8.333298852	7.952057338
CDH1	4.06540207	4.436758767	4.042564185	4.68714155	4.684024234	4.356502953	4.442393093	3.897891684	4.189477227	4.2858	3.36271	4.345326139	3.912130848	5.361386176	7.271158688	3.928285195	5.436586476	5.05740957	3.721558377	4.21452	4.518249649	5.16077	4.813293689	4.853268852	3.308811684	3.96487619	3.840654107	3.825478934	3.948777379	5.126783689	3.950066999	4.551018767	3.391646266	4.18691	4.262231268	4.677638767	4.446543093	4.633497499	4.218635195	3.93232	4.041283754	4.06589	4.715008688	3.496276476	3.705930581	5.308890581	3.941716139	4.644647227	4.34839155	4.047585663	4.155880672	4.352681905	3.846870848	4.723697338	3.756480593	4.02197	3.88873	3.865813348	4.008362759	3.928046176	4.307387379	3.90672207	4.218490581	4.273308934	3.971236346	4.23703314	4.815997379	3.033566476	3.571890848	3.79718147	3.689371733	3.150477227	3.020093093	3.918725735	3.35225147	4.304283349	3.961523754	4.341836176	4.194881905	3.281825663	3.176606999	3.61212	4.41237147	5.508945254	3.707341268	3.416683689	4.683230672	4.7272	4.775865254	4.398061503	3.702281268	4.544638852	3.64155	4.248917338	4.871855663	6.488328688	3.217226472	3.376648852	4.149317338
CCL5	7.20195207	9.973978767	9.014794185	7.95326155	9.534924234	8.475112953	8.428713093	8.378121684	9.500277227	7.89679	6.68367	7.933606139	8.037190848	9.436486176	10.76965869	8.258725195	9.130596476	8.44161957	8.981638377	8.93302	9.348449649	8.10288	8.689053689	9.189608852	7.016381684	9.50336619	8.362804107	9.238648934	7.277097379	8.814093689	8.231176999	8.148438767	8.450686266	7.68654	7.954321268	8.887938767	9.352833093	9.420767499	8.267055195	8.6345	9.345393754	8.60716	9.611398688	7.082216476	7.601200581	7.553320581	7.775296139	6.885587227	8.09793155	8.254605663	8.547990672	8.659931905	8.175240848	8.914077338	9.699740593	7.50828	8.47996	8.151413348	9.651562759	9.213786176	8.510067379	9.20665207	9.367620581	9.749818934	9.238146346	9.46450314	8.424137379	8.174976476	8.093430848	8.13521147	9.239281733	7.692677227	8.420703093	7.987915735	8.06366147	8.756013349	9.748323754	7.524306176	8.072111905	7.854515663	8.181226999	8.44117	9.03734147	8.319405254	8.781311268	9.809573689	8.777760672	7.82152	6.894925254	9.094351503	9.390041268	8.174578852	9.78666	8.691397338	8.822795663	8.299848688	8.280166472	8.092418852	7.083737338
CCL14	12.20150207	11.72215877	9.179254185	11.44229155	11.49170423	10.79997295	11.31507309	10.87658168	9.546787227	10.67021	11.3224	11.29066614	10.96614085	11.77444618	13.54418869	10.82981519	10.34360648	11.21239957	10.62180838	10.14254	11.29066965	11.20042	11.25741369	10.74842885	10.90200168	10.22635619	10.59389411	10.56921893	9.725357379	10.55852369	10.819417	11.27745877	10.79368627	9.50026	10.97975127	11.40118877	9.884833093	11.5263675	11.06830519	10.73458	10.46789375	11.02615	11.17102869	10.45851648	11.28326058	11.34560058	10.92292614	9.756117227	11.26503155	11.06943566	11.05909067	11.00128191	10.89379085	11.25606734	10.44225059	11.3289	11.39342	11.23325335	11.47460276	11.34130618	11.36928738	10.31557207	10.87539058	10.80253893	11.19509635	11.10058314	11.48002738	10.70534648	10.65858085	10.69866147	10.54876173	11.11297723	11.07663309	11.22055574	11.03485147	11.37318335	10.74595375	11.04245618	10.98678191	10.47925566	9.880106999	11.13906	10.82040147	11.65079525	9.884961268	11.15319369	11.14286067	9.47609	10.05020525	10.8857415	11.19717127	10.97916885	10.64882	11.30859734	11.21409566	11.08664869	11.03962647	10.87839885	11.24382734
GNLY	9.99781207	9.604298767	9.715724185	10.39006155	9.963474234	9.970822953	9.060143093	8.785681684	10.38198723	10.64585	8.91171	10.17491614	9.455530848	9.735546176	12.39157869	9.155845195	10.05338648	10.81028957	9.518688377	9.71098	10.18498965	9.50242	9.135543689	10.54539885	10.60098168	10.56226619	8.715894107	9.566048934	9.747137379	10.29074369	10.387897	10.80127877	10.60855627	9.26669	10.48836127	10.37057877	10.11515309	9.935287499	9.549355195	9.4609	10.67786375	9.52368	10.27491869	10.64446648	10.06703058	9.850930581	10.14377614	8.084427227	9.94554155	9.521645663	12.29531067	9.452741905	9.746450848	11.31979734	10.23931059	9.08857	9.46348	9.189663348	11.42595276	10.44407618	10.89760738	9.62441207	10.20158058	9.559528934	9.978766346	9.91111314	10.05649738	10.28869648	10.96351085	8.83026147	12.13937173	10.11713723	10.49587309	10.60477574	10.32432147	11.14967335	9.673743754	7.950606176	9.969071905	10.52177566	8.045156999	9.9674	11.90748147	10.16248525	10.29860127	10.26348369	11.36168067	7.52875	7.642995254	10.1500615	11.04632127	10.08982885	9.07894	10.77533734	10.33650566	10.02932869	10.08252647	10.19175885	9.838087338
NOTCH1	3.41473207	4.438828767	3.078714185	3.53289155	3.165564234	4.986642953	3.819353093	2.448891684	4.001507227	3.60276	3.23537	4.675626139	3.583920848	5.076486176	6.848208688	3.369905195	3.369936476	5.03559957	4.074828377	3.37885	4.388949649	4.52434	4.418033689	3.241378852	3.188081684	4.97664619	2.587124107	4.024208934	2.462867379	4.223023689	2.953786999	3.618008767	4.256036266	2.68061	2.754671268	4.777878767	3.771393093	2.614697499	2.838215195	3.23022	3.655203754	3.3314	5.530398688	2.928496476	3.791700581	3.466080581	3.581786139	1.180097227	3.81401155	3.385015663	4.183650672	3.260561905	3.869520848	4.569937338	3.590320593	2.06626	3.01524	3.296013348	4.317102759	3.992676176	3.019207379	3.64844207	3.578060581	2.747958934	3.738276346	3.44243314	3.377087379	2.876886476	3.097420848	3.61064147	4.189851733	3.591727227	3.479593093	4.350045735	3.29681147	4.725533349	4.323773754	1.700216176	4.556881905	3.380795663	3.237106999	3.45448	4.24848147	4.267095254	3.881611268	4.137063689	3.752860672	2.31759	2.405135254	5.266031503	3.651171268	3.540838852	3.34787	5.537357338	4.675055663	6.157958688	3.570366472	4.107498852	3.743877338
PAM	6.48878207	6.369968767	6.413544185	5.88545155	4.595714234	5.648792953	6.857513093	4.590891684	3.590497227	6.85297	5.5829	4.800686139	5.855360848	8.075936176	8.262138688	4.500915195	6.906366476	5.90259957	3.546548377	5.96328	6.996669649	6.27901	5.450233689	9.050658852	4.569771684	4.63819619	3.012184107	3.885308934	2.989667379	7.384803689	3.146476999	7.890928767	6.089646266	6.05469	7.037231268	5.870518767	7.465653093	4.854637499	6.660665195	5.43703	3.397343754	6.61407	6.336148688	3.842706476	5.811100581	4.451110581	4.034016139	6.021677227	4.63771155	3.981885663	5.504450672	3.356341905	3.969750848	5.150167338	4.928620593	5.37508	3.84471	4.278383348	5.392272759	6.126236176	6.289467379	3.35155207	4.756870581	4.447838934	5.524076346	4.31878314	7.160077379	4.139666476	5.069000848	4.83168147	4.188551733	4.807977227	4.161633093	5.475655735	4.36472147	7.030193349	4.247373754	2.507096176	4.209631905	5.744745663	1.763426999	6.60371	4.34915147	5.585795254	4.534431268	7.406083689	4.811920672	3.8548	7.598655254	4.748221503	5.211721268	4.218438852	5.63356	7.137717338	6.018845663	7.090508688	4.663256472	4.195818852	6.152317338
PROC	7.92566207	7.171268767	6.835084185	7.26181155	7.219984234	6.907522953	7.471503093	6.399171684	3.204147227	7.37907	5.8132	5.688576139	6.551230848	8.768626176	8.618518688	6.392545195	8.298246476	5.60330957	5.087288377	7.12459	7.717619649	6.87306	6.596153689	8.436188852	6.138641684	6.73296619	3.940064107	5.030198934	7.242847379	9.097433689	5.131256999	8.123498767	7.639016266	7.80464	7.428251268	6.070168767	7.852203093	6.702347499	8.009585195	7.74699	5.222513754	7.7697	5.965518688	7.899416476	7.481350581	6.624150581	5.560406139	6.819327227	6.16931155	7.226905663	7.266080672	4.220691905	7.541480848	5.594317338	5.445950593	7.51346	3.93173	6.603783348	6.226282759	6.332786176	8.428997379	4.02950207	7.066940581	5.859308934	7.632256346	5.84126314	8.304047379	6.238746476	7.226930848	6.40859147	5.955551733	7.004747227	6.619133093	6.741365735	6.49433147	8.277003349	5.576713754	5.153276176	6.652681905	6.717265663	1.492646999	8.02324	6.70632147	7.481895254	6.838471268	7.406863689	6.907240672	4.56982	7.979645254	5.200421503	6.447301268	6.523368852	7.46487	7.262457338	6.826265663	6.352918688	7.703926472	5.263178852	7.585197338
CST3	11.39904207	11.23758877	7.736774185	10.69575155	10.99334423	10.63869295	10.69367309	10.32600168	9.584107227	9.6957	10.84072	10.73068614	9.918840848	11.44246618	12.79413869	10.10359519	9.155596476	10.93014957	9.705118377	9.77611	10.36385965	10.89167	10.77305369	9.602318852	10.42521168	9.81439619	9.592004107	9.947928934	8.476537379	9.490363689	10.077327	10.58555877	10.25063627	8.54858	10.68022127	10.99538877	9.618163093	10.0953975	10.55171519	9.26962	9.566723754	10.06932	10.53751869	9.298936476	9.749550581	10.94135058	10.41241614	7.929547227	10.04886155	9.994645663	9.696070672	10.00178191	10.33659085	10.58799734	9.565570593	10.15125	10.63707	9.813923348	10.91169276	10.74285618	10.79964738	8.99470207	9.795850581	10.27218893	10.26982635	10.43676314	10.92232738	9.049416476	10.19670085	10.08438147	9.590901733	10.13437723	9.997783093	10.25536574	10.44335147	10.87075335	9.921173754	10.70227618	10.38278191	8.533695663	7.147146999	10.03832	10.08420147	10.85907525	9.574331268	9.682133689	10.67766067	10.11535	8.413665254	10.4050715	10.66623127	10.46163885	8.44945	10.93717734	10.61459566	10.87652869	9.515116472	10.42077885	10.19222734
NCAM1	1.92207207	2.170378767	1.307764185	1.80168155	1.408834234	2.773622953	2.008293093	1.482371684	3.177687227	0.76783	2.18298	2.287266139	1.291240848	3.491116176	4.404558688	1.099055195	1.478756476	2.36310957	0.476278377	0.94723	1.938079649	3.09978	2.798723689	1.300828852	1.467441684	1.00531619	0.432784107	0.444738934	0.873327379	1.969483689	1.200966999	1.538368767	1.154976266	0.43685	1.114771268	2.759518767	1.638633093	1.228647499	1.776075195	1.25555	1.678923754	1.29756	1.825708688	0.923256476	1.529440581	1.954420581	1.382046139	0.280547227	1.59397155	1.525685663	1.888110672	1.277841905	1.333560848	1.554407338	0.555080593	0.41964	0.20314	0.829783348	1.396142759	2.516226176	1.082387379	0.52622207	1.300270581	1.221898934	1.695136346	1.98148314	2.182877379	0.985766476	0.827770848	1.13494147	1.913331733	1.802797227	0.931413093	2.435365735	1.39331147	2.126223349	1.113473754	0.438426176	1.351261905	1.098275663	1.060916999	1.80174	1.32818147	3.621165254	1.611581268	1.329563689	2.522140672	1.01635	0.860525254	2.181531503	1.242581268	2.136748852	0.66522	2.615707338	3.068365663	3.835048688	1.019036472	1.470208852	1.190497338
