	N120B	N123B	N124B	N126B	N130B	N131B	N138B	N140B	N144B	N146B	N148B	N149B	N150B	N151B	N152B	N153B	N155B	N158B	N160B	N161B	N163B	N164B	N165B	N166B	N169B	N171B	N172B	N176B	N178B	N179B	N182B	N185B	N186B	N187B	N188B	N189B	N192B	N193B	N195B	N197B	N198B	N199B	N200B	N202B	N203B	N205B	N210B	N212B	N214B	N215B	N216B	N217B	N218B	N221B	N222B	N224B	N226B	N228B	N229B	N232B	N233B	N234B	N235B	N238B	N239B	N240B	N242B	N243B	N245B	N246B	N247B	N248B	N250B	N254B	N255B	N256B	N259B	N261B	N265B	N267B	N268B	N269B	N270B	N153AB
APOL1	5.697662633	5.817623258	5.575917361	5.008988783	6.490249211	8.539934245	6.015693807	6.215290306	7.00337736	5.626439137	6.77478706	5.781359714	7.414473836	7.766860144	5.786596362	6.046578367	8.217230716	7.417852515	5.860466259	6.329123596	7.24697806	6.965784285	6.938991439	7.712183051	5.244125943	5.778734244	5.563768278	7.596935142	6.323730338	6.159871337	5.768184325	5.741466986	5.566815154	5.850499414	6.017921908	8.25219234	4.944858446	7.498250868	5.986487816	5.83541884	6.6794801	5.495055528	6.238404739	6.321928095	6.452858965	5.906890596	5.354028938	5.121015401	6.465974465	5.651128909	6.205548911	5.757556689	7.340740281	7.566054038	5.990197369	6.452858965	6.938991439	6.037821465	6.223919633	6.388878339	6.215290306	5.646738698	5.930737338	6.548436625	7.407692649	6.048759312	6.04220656	4.614709844	6.722466024	6.930737338	4.807354922	5.867896464	6.300123725	5.520422249	7.30103885	7.074676686	7.451211112	6.341630009	5.865423978	5.667090651	6.283551423	5.482409293	5.981852653	7.960001932
APOA	5.392317423	7.48864354	6.572889668	6.76420813	6.912889336	7.40173285	5.551516018	4.255500733	3.935459748	4.827819025	7.30560579	4.827819025	7.851749041	4.590961241	2.887525271	7.712870868	6.03562391	7.750204509	5.108524457	6.0725346	6.061776198	4.364572432	6.721099189	3.419538892	4.523561956	7.286326727	7.721782768	4.336283388	6.984133595	7.218199944	5.43629512	5.28169825	3.10433666	4.153805336	5.329123596	5.716990894	4.378511623	4.916476644	7.225930411	6.704595348	7.017921908	8.832890014	5.236492618	4.817623258	4.121015401	7.253611152	6.325530332	4.510961919	4.786596362	3.087462841	5.995484519	5.981852653	2.292781749	7.46515823	3.121015401	3.95419631	5.569855608	5.501439145	4.722466024	6.251719093	8.827501495	7.829722735	7.886915896	6.242221395	7.881419908	8.21916852	6.908092341	4.897240426	7.725195817	4.716990894	5.116863758	4.300123725	4.837943242	5.925999419	6.478971805	9.346070441	6.263034406	5.416164165	3.722466024	4.017921908	5.346956889	5.285402219	4.716990894	4.760220946
APOH	5.64096791	6.719731057	6.110613806	4.121015401	5.916476644	7.345183447	6.886306263	5.930737338	6.323730338	6.899659026	5.62935662	5.947198584	6.64096791	6.373300197	6.993221467	6.711494907	6.832890014	6.910492832	6.485426827	5.491853096	6.419538892	6.116863758	5.786596362	6.121015401	5.412781525	6.177917792	5.99095486	6.867896464	5.852997588	5.683696454	5.949534933	6.309248961	5.572889668	6.181897643	6.581953751	6.17990909	6.199672345	6.847996907	6.422905743	6.894817763	6.321928095	6.022367813	5.921245889	6.623515741	6.153805336	6.760220946	6.059614856	6.263034406	6.020146573	6.063934306	6.596935142	7.48703608	6.409390936	6.982993575	7.213347282	5.815063017	6.171927354	6.472487771	7.001126665	6.442943496	6.399171094	6.205548911	6.247927513	6.230741003	6.276124405	6.770829046	5.526694846	6.230741003	6.345183447	6.456149035	6.761551232	6.125155131	6.798309782	4.478971805	6.574404309	6.499845887	6.298291731	7.141596278	6.334496768	6.469234794	6.687900522	6.417852515	6.623515741	4.977279923
CLUS	6.669593751	7.076815597	6.346956889	6.528258743	6.646738698	7.820817182	6.330916878	6.249824549	6.842978832	7.261154673	6.48864354	6.145677455	6.745506266	6.368069877	6.195741293	7.014578465	7.886915896	6.572889668	6.397460726	6.093813673	6.395748328	6.226893814	6.888743249	7.362820526	6.031218731	5.914086097	7.344295908	6.560714954	6.48703608	7.090641752	6.871597266	5.66106548	6.929554316	6.806066226	6.841721581	6.121015401	5.145677455	7.061776198	6.261154673	6.300123725	7.628627802	6.512542955	6.456149035	6.422905743	5.504620392	6.534497434	6.881419908	5.807354922	6.549977143	6.865423978	6.622051819	6.622051819	6.402585758	7.150762744	7.155830172	6.261154673	6.903279342	6.529820947	7.337175869	7.177917792	7.350497247	6.692092375	7.118941073	6.366322214	6.855491443	6.854245054	7.04220656	6.076815597	7.069315495	6.181897643	6.808642468	6.891176125	6.703211467	5.703211467	6.523561956	7.357552005	6.011227255	6.470862199	6.782670659	6.232660757	6.659639187	6.251719093	7.553053253	7.491853096
A1AG1	5.83541884	6.106432078	5.9795681	6.521992956	6.459431619	6.020146573	5.741466986	6.089582893	6.269013534	5.48864354	5.325530332	5.116863758	6.475733431	4.997000041	6.75087444	5.368069877	5.786596362	7.445428759	5.765534746	5.22881869	7.951867504	7.025693274	5.572889668	5.432959407	4.017921908	4.837943242	6.635173947	6.209453366	5.937815169	4.935459748	5.655351829	4.638073837	5.364572432	4.314696526	6.982993575	8.324180547	4.364572432	5.397062416	5.074676686	5.008988783	5.416164165	5.28169825	5.54225805	5.529820947	4.958842675	5.678071905	5.357552005	4.722466024	5.070389328	5.478971805	5.566815154	4.727920455	7.891176125	6.526694846	5.236492618	6.82527683	6.498250868	4.465974465	5.786596362	6.181897643	6.345183447	6.044394119	6.475733431	6.085339669	6.849248703	4.916476644	6.135452784	4.862947248	6.289096702	6.333686733	4.822730148	5.892391026	6.789207575	5.357552005	7.023477152	6.341630009	6.705977902	5.904484098	5.031218731	4.786596362	5.392317423	5.266786541	4.921245889	5.221103725
A1BG	6.601399391	6.830356747	5.906890596	6.215290306	6.12722055	7.196725061	6.651051691	8.220620167	6.752213368	5.815063017	6.381975479	6.638073837	6.400879436	6.240314329	6.930737338	6.498250868	7.222070355	7.810571635	6.287250643	5.757556689	6.599912842	7.633721813	6.257387843	5.64096791	5.663913842	5.452858965	6.662490364	6.886306263	6.163901214	6.270528942	6.044394119	6.577428828	6.586464526	5.64096791	6.6043679	6.93191939	7.190812368	6.470862199	5.942514505	6.444600814	6.270528942	6.355791547	6.565292521	6.327328083	5.942514505	6.185866545	6.199672345	6.623515741	6.608809243	6.94602899	6.938991439	6.359310317	6.842978832	6.572889668	6.48864354	6.633721813	6.381975479	6.294620749	6.387155718	6.656782364	6.106432078	6.323730338	6.350497247	6.106432078	6.649615459	6.462706751	5.95419631	5.711494907	6.862947248	7.001126665	6.811214118	6.203592714	6.292781749	5.776103988	7.145677455	6.523561956	6.909293086	6.857980995	5.847996907	5.909293086	6.607330314	5.9795681	6.485426827	6.046578367
FETUA	8.20994068	2.378511623	7.729960561	5.916476644	3.754887502	4.399171094	6.12722055	3.847996907	5.94016675	6.854245054	4.852997588	6.746850183	6.607330314	2.981852653	5.802193217	6.159871337	7.803485376	5.623515741	7.022367813	4.392317423	3.944858446	2.963474124	3.201633861	3.137503524	6.730639956	6.626439137	7.067165427	6.504620392	6.846744023	4.95419631	6.321928095	3.137503524	5.746850183	6.201633861	7.147713722	6.376776572	5.705977902	5.161887682	6.854245054	3.201633861	6.0	6.663913842	7.469234794	2.807354922	4.03562391	7.00337736	6.83541884	4.465974465	3.887525271	5.263034406	4.343407822	3.827819025	5.797012978	6.842978832	4.54225805	7.408542042	7.254556252	4.529820947	6.841721581	4.357552005	7.945443836	7.038918989	5.914086097	6.98982022	6.137503524	3.017921908	7.100136671	4.649615459	5.783980414	3.963474124	5.599912842	6.951867504	8.110091752	7.01234519	7.981852653	6.334496768	4.807354922	3.827819025	6.899659026	4.510961919	2.321928095	6.270528942	5.781359714	5.116863758
CERU	6.089582893	6.659639187	5.266786541	5.692092375	6.6395216	6.285402219	5.375039431	6.416164165	6.087462841	5.786596362	5.911691582	5.28169825	6.276124405	4.705977902	6.253611152	5.402585758	7.408542042	6.62058641	5.649615459	5.173926932	7.053111336	7.288173968	6.247927513	4.87774425	4.812498225	5.608809243	6.098032083	6.708739041	5.832890014	5.44625623	6.020146573	5.714245518	5.548436625	5.590961241	5.918863237	7.767522386	4.727920455	5.395748328	6.757556689	5.523561956	6.332707934	5.402585758	5.442943496	5.399171094	5.078951341	5.350497247	5.361066489	5.285402219	6.259272487	6.506208389	6.061776198	5.569855608	7.248876343	6.336283388	5.675251386	5.716990894	5.722466024	5.551516018	5.551516018	5.617651119	6.645298164	4.906890596	5.837943242	6.338067798	7.411087227	5.867896464	5.9795681	4.292781749	6.529820947	8.291400959	5.395748328	5.247927513	5.0	5.121015401	7.085339669	6.017921908	10.91206599	6.22881869	5.232660757	5.722466024	5.213347282	5.686500527	5.626439137	6.474111514
FA9	7.297374861	6.943686952	6.290940402	6.211401637	6.17990909	7.05202456	6.432959407	6.12722055	7.368069877	7.472487771	6.663913842	5.617651119	6.736063628	5.482202926	6.249824549	6.782670659	7.473299871	6.387155718	6.562242424	5.375039431	6.378511623	6.224966365	6.510961919	6.390598906	6.366322214	6.521992956	7.194756854	7.157852169	6.589463893	6.081083929	6.607330314	5.581953751	5.956521363	6.224966365	6.840463234	6.044394119	4.87282876	6.944858446	6.257387843	5.350497247	7.136478518	6.348728154	6.057450272	5.289096702	4.986410935	6.757556689	6.503030646	4.44625623	5.899659026	6.623515741	5.799605422	5.575917361	6.521992956	7.317412614	5.783980414	6.806066226	7.093813673	5.602884409	7.46515823	6.215290306	6.984133595	6.48058827	6.746850183	7.215290306	6.726558779	5.727920455	7.088523257	5.827819025	6.642412773	6.504620392	6.289096702	6.77478706	7.260213887	6.21916852	6.687900522	6.829088444	5.378511623	6.029011087	6.996614715	5.28169825	6.627898616	5.504620392	6.23457796	6.14974712
FA10	6.608809243	6.14974712	5.909293086	5.855491443	7.05202456	7.312882955	6.62935662	6.40599236	7.068240861	8.236492618	6.821455119	5.346956889	7.145677455	4.504620392	6.574404309	7.602142091	8.101187815	7.140574178	6.0	5.181897643	6.662490364	6.230741003	6.689299161	6.780047576	6.571373436	5.852997588	7.758223215	7.476543706	7.723831566	5.409390936	6.301953395	5.145677455	5.332707934	5.378511623	6.253611152	6.189824559	4.678071905	6.017921908	5.683696454	5.14974712	7.498250868	6.118941073	6.139551352	5.004501392	4.371558863	6.744161096	6.290940402	4.017921908	5.703211467	6.648177796	5.832890014	5.091699834	6.968090752	7.666046429	5.572889668	6.62058641	7.048759312	5.485426827	7.078951341	7.270528942	7.17292749	6.464341533	7.087462841	6.977279923	6.961160258	5.357552005	6.846744023	4.727920455	7.379378367	6.75087444	6.129283017	7.0725346	7.387155718	6.10433666	7.254556252	6.861707287	6.112700133	6.181897643	6.885086225	4.412781525	6.081083929	3.925999419	6.024585638	6.287250643
FA12	5.040015679	6.900866808	5.956521363	7.85237345	6.582483048	6.62497818	5.456149035	6.549977143	6.548436625	6.317893921	7.071462363	5.201633861	7.727239777	4.602884409	6.880195729	6.781359714	8.284477118	6.77478706	6.151777655	5.065464974	6.183883459	6.741466986	5.339850003	5.672425342	5.655950262	5.146308189	6.10433666	5.646738698	6.14363831	5.357552005	4.822730148	5.03562391	3.277984747	4.121015401	6.108524457	6.6395216	5.956521363	4.802193217	5.757556689	5.623515741	6.276124405	5.551710187	5.845490051	4.995440072	5.652486495	5.972692654	4.263034406	5.491853096	6.285402219	6.496654083	5.03562391	5.62058641	8.356231863	6.540709263	6.485426827	6.539158811	6.432959407	5.675251386	5.993221467	6.583107073	7.222070355	5.62935662	6.091699834	6.770829046	6.339850003	5.581953751	5.804776378	5.64096791	5.251719093	6.100136671	5.693258444	6.123086751	5.949534933	5.017921908	6.320123598	5.083213368	7.511752654	5.947198584	5.812498225	3.897240426	5.50779464	3.62058641	5.937815169	6.057450272
F13A	6.022367813	7.270528942	4.807354922	7.159871337	6.464341533	6.686500527	6.207502459	4.584962501	7.031634242	7.188836073	7.637349411	5.412781525	7.061776198	6.014168873	6.183883459	6.534497434	5.563768278	6.171927354	4.95419631	5.100136671	6.652486495	6.419538892	6.718361626	4.944858446	5.822730148	5.827819025	6.063934306	5.935459748	7.288173968	5.786596362	6.017921908	6.397460726	5.100136671	5.578938713	6.54225805	5.224966365	6.54689446	5.577067508	6.956521363	6.378511623	5.5360529	7.029011087	5.605849867	6.28169825	6.970393538	6.163901214	6.470862199	5.9795681	6.531381461	8.255972742	5.956521363	5.942514505	5.332707934	6.548436625	5.422905743	6.51412226	6.112700133	5.572889668	7.605109074	7.276124405	6.740118043	5.692092375	5.786596362	6.608809243	6.663913842	5.802193217	6.083213368	4.62058641	7.610286657	6.836580979	7.083213368	6.48058827	4.649615459	5.593951284	6.366322214	5.988684687	8.762880293	6.672425342	5.963474124	5.812498225	6.48058827	4.078951341	4.921245889	5.669593751
F13B	4.649615459	7.593204354	5.482202926	5.658765218	8.89056829	8.62497818	6.572889668	5.285402219	7.583510607	6.583613192	7.174925683	5.089724855	7.142617655	4.883852215	6.388878339	6.695273303	5.928370323	7.726558779	5.492230546	3.666756592	7.854245054	5.867896464	6.272396509	6.217230716	2.981852653	5.830356747	5.719731057	6.402585758	6.209453366	5.449561375	5.804776378	5.378511623	5.572889668	5.354028938	6.470862199	6.366322214	3.744161096	5.470746068	5.776103988	7.236492618	5.924114985	6.506208389	6.01346226	5.409390936	5.757556689	6.167919866	5.752213368	4.478971805	5.95419631	5.924221963	6.259272487	5.307428525	6.837943242	7.231701199	5.730556944	4.911691582	6.632268215	3.0	6.031367028	6.630803605	7.376776572	3.678071905	6.296090077	6.703211467	6.469234794	5.429615964	5.557655155	5.626439137	8.11113567	8.83614853	6.672544576	6.960873438	5.928370323	5.329123596	6.411087227	7.337175869	9.914086097	5.153805336	5.911691582	4.822730148	6.30560579	1.485426827	4.749534268	5.970393538
C1QA	6.515699838	5.617651119	6.257387843	6.407692649	6.886306263	7.063934306	6.303780748	6.434628228	7.102238194	6.842978832	6.385431037	4.847996907	6.874059203	4.626439137	5.897240426	7.130313146	7.886306263	7.123086751	4.897240426	5.822730148	6.815063017	5.963474124	6.390598906	6.532940288	5.995484519	5.452858965	7.496654083	6.108524457	6.217230716	4.897240426	6.5360529	5.632268215	6.087462841	5.965784285	6.847996907	7.088523257	4.329123596	5.48864354	5.548436625	5.432959407	7.016808288	6.421223299	6.607330314	5.378511623	4.510961919	5.986410935	5.94016675	5.321928095	5.649615459	6.862947248	6.247927513	5.54225805	6.864186145	6.404290064	6.024585638	6.068240861	5.914086097	6.147713722	7.865423978	6.300123725	6.61176256	6.680886921	6.970393538	7.152791852	6.531381461	5.880195729	7.114783447	7.484621527	6.54225805	7.45779126	5.539158811	5.566815154	6.587964989	5.452858965	7.186857067	6.822730148	6.461070114	6.475733431	6.343407822	4.882643049	6.09592442	5.189824559	5.752213368	6.334496768
C1QB	6.780047576	5.993221467	6.300123725	6.354028938	7.014578465	7.076815597	5.947198584	6.504620392	7.116863758	6.837943242	6.296457407	4.649615459	6.62497818	5.017921908	6.224966365	7.248876343	8.267254872	7.403438163	5.296457407	6.098032083	6.601399391	6.074676686	6.427941333	6.515699838	6.332707934	5.485426827	7.625708843	6.323730338	6.139551352	5.733354341	7.048759312	5.906890596	6.666756592	6.137503524	7.22881869	6.956521363	4.03562391	5.862947248	5.100136671	5.173926932	7.230741003	6.371558863	6.339850003	5.590961241	5.381975479	6.070389328	6.289096702	5.560714954	6.017921908	7.6387979	6.587964989	5.240314329	7.544578117	6.62058641	6.050936965	6.551516018	6.089582893	6.345183447	7.937226674	6.364572432	6.0725346	7.070389328	7.010108453	6.0725346	6.840463234	6.207502459	7.257387843	7.87036472	6.765534746	7.723831566	5.852997588	5.5360529	6.5360529	5.716990894	7.175923742	6.840463234	7.384567923	6.06608919	6.350497247	4.921245889	6.276124405	4.958842675	5.914086097	6.592457037
C1QC	6.944858446	6.029011087	6.108524457	6.38024459	6.861707287	6.915281866	6.259272487	6.662490364	7.055282436	6.703211467	6.531381461	4.66106548	6.557655155	5.847996907	6.371558863	6.741466986	7.444600814	6.694880193	6.197708158	6.053111336	6.648177796	5.968090752	6.824004051	6.224966365	6.352264173	5.867896464	6.852997588	6.459431619	6.392317423	5.501439145	6.61176256	6.006746832	6.66106548	6.359310317	6.840463234	6.82527683	4.40599236	6.346956889	5.300123725	5.523561956	7.037821465	6.671010241	6.400879436	5.666756592	5.599912842	6.0725346	6.298291731	5.87282876	5.951867504	7.722466024	6.369815424	5.760220946	7.011227255	6.362820526	5.789207575	5.984133595	6.217230716	6.145677455	7.559950613	6.693486957	6.244125943	7.030115331	6.818901676	6.147713722	6.586464526	6.129283017	6.829088444	7.031218731	6.969242604	7.278914019	5.897240426	6.394033895	6.197708158	6.04220656	6.832890014	6.613236955	7.137503524	6.255500733	6.259272487	5.008988783	6.205548911	4.385431037	5.700439718	6.397460726
